ref:mise;name;operator;address;latitude;longitude
48244;CHECCHI CARBURANTI GUAMO;CHECCHI CARBURANTI S.R.L.;VIA NUOVA PER PISA SNC 55100;*****************;10.49166218650817
48371;CONAD SUPERMERCATI LUCCA;ZAGARA S.R.L.;Via Di Tiglio 345 55100;*****************;10.518859008598334
38605;DISTRIBUTORE PIETRASANTA;ALA CARBURANTI S.R.L.;VIA AURELIA SUD 91 55045, PIETRASANTA (LU) 91 55045;*****************;10.226255804300308
31219;PIETRASANTA - MARCONI;"IP SERVICES S.R.L.";VIA GUGLIELMO MARCONI  55045;*****************;10.222750961971315
22167;VERSILIA OVEST;TI.CAR. S.N.C. DI MARIO SUPPADRI E YURI TONAZZINI;Autostrada A12 SESTRI L.-LIVORNO,  Km. 131,00, dir. SUD 55045;*****************;10.224430561065674
55265;IMPIANTO IP SERAVEZZA;GRANAIOLA VERONICA;ALCIDE DE GASPERI 77 55047;*****************;10.220120222237412
30052;BEYFIN;TESSITORE SALVATORE;VIA AURELIA ANG. VIA GUIDICCIONA EST 1 55049;*****************;10.28782457113266
38659;MATTEUCCI PETROLI SRL;MATTEUCCI PETROLI SRL;via della Gronda  335 55049;*****************;10.253622410589628
46420;STAZIONE IP;DI NARDO SALVATORE;VIA CIABATTINI 57 55049;*****************;10.255950303075792
8343;tamoil;CARMASSI & LOTTI S.N.C.;via marco polo 107 55049;*****************;10.248756173610673
41321;aliah srl s.;ALIAH SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;VIA G. DA VERRAZZANO 1 54033;*****************;10.048762452709184
49982;Futura Carburanti;FUTURA CARBURANTI S.A.S. DI CALEO TIZIANA E C.;VIA COVETTA 19 54033;*****************;10.052870634469386
19961;CUMA di Mainardi Luciano s.a.s. ;CUMA DI MAINARDI LUCIANO S.A.S.;BOZZONE 143 54037;*****************;10.078521072864532
60614;La piramide di Manuel Tognoli;LA PIRAMIDE DI MANUEL TOGNOLI;DEL CACCIATORE 2 54100;*****************;10.078180072586019
4920;Tongiani Carburanti ;TONGIANI CARBURANTI S.A.S. DI TONGIANI FRANCESCO & C.;VIA OLIVETI 106 54100;*****************;10.110791884655782
26489;IP di braconi massimo;BRACONI MASSIMO;VIA 8 APRILE SNC 54038;*****************;10.166631639003754
47002;ESSO PONTREMOLI - SANTA GIUSTINA;PAD MULTIENERGY S.P.A;Via Nazionale della Cisa - Loc. Santa Giustina  54027;*****************;9.899957340254936
12004;Donati & Giari;DONATI ANDREA & C. S.A.S.;VIA PROV.LE ARNACCIO-MONTE SERRA SNC 56011;*****************;10.513803362846375
44719;DISTRIBUTORE ALA CALCINAIA;ALA CARBURANTI S.R.L.;DEL TIGLIO 149 56012;*****************;10.62046080827713
7294;CASCINA - SDA GRANDE COM FI-PI;SERVIZI & GESTIONI ITALIA S.R.L.;SDA GRANDE COM FI-PI-LI SN 56021;*****************;10.448975712060928
46399;eni;LA BUONA SOSTA S.A.S. DI JAWAD HUSSAIN;via provinciale francesca sud  197 56022;*****************;10.768339547980872
23420;AQUILA ENERGIE spa PIO LUCA & MARCO;PIO LUCA, MARCO & C. SNC;STRADA PROV.LE TRE COMUNI KM, 1,16  56040;*****************;10.547355115413666
33024;PALAIA - MONTANELLI;"IP SERVICES S.R.L.";VIA PROVINCIALE PER LEGOLI  56030;*****************;10.718965131282857
47313;B.I.P ;PROM. SELF S.R.L.;Via San Pio da Pietrelcina  56124;*****************;10.436182916164398
19159;ESSO;M. & M. S.A.S. DI MALACARNE MAURIZIO E C;VIA MARSALA 11,  11 56121;*****************;10.444285629222122
24462;IMPIANTO IP;ALESSANDRINI ANTHONY;VIA VIALE ROSSINI - VILLAGGIO CEP SNC 56126, PISA (PI)  56125;43.712616604432704;****************
38907;LA NUOVA OASI DEL CARBURANTE;LA NUOVA OASI DEL CARBURANTE DI BERNARDINI VERONICA;VIA DEL BRENNERO 1 56123;*****************;10.403105364418025
41404;PISA CARBURANTI S.ERMETE;PISA CARBURANTI S.R.L.;VIA EMILIA 183 56121;*****************;10.413814634084702
54244;IP45603;POWER DI DE CRISTOFARO SAVERIO;S.G.C. FI.PI.LI. DIR. FIRENZE KM54+140 56025;*****************;10.617576122283928
31171;PONTEDERA - SP DI GELLO 35/A;"IP SERVICES S.R.L.";SP DI GELLO 35/A 56030;*****************;10.6032839067459
15288;Nuti Snc di Nuti Daniele & C.;NUTI S.N.C. DI NUTI DANIELE & C.;VIA DI CISANELLO 23 56017;*****************;10.443917819049034
14954;ip;MELAI MAURIZIO;VIA T.ROMAGNOLA EST 411 56028;*****************;10.836415853372955
56704;ip 45626;KAJMAKU KLODJAN;PROV NUOVA FRANCESCA BIS SNC 56029;*****************;10.772519856468278
6917;BEYFIN;PE-CO DI PESCIONI ALESSIO & C. S.N.C.;Viale F.lli Cervi 102/104 59100;*****************;11.084439396820017
44692;DUE A snc;DUE A DI ARACHI ALESSANDRO E FINOTELLO RICCARDO S.N.C.;VIA ROMA 617/G 59100;*****************;11.063797734197237
51569;ENI;BERTEI OTTAVIANO;Viale L Da Vinci  17/p 59012;*****************;11.04373812675476
24434;PAOLETTI GABRIELE;STAZIONE DI SERVIZIO PAOLETTI GABRIELE;VIA ROMA 315/F 59100;*****************;11.083724255819675
6580;PRATO V. LEONARDO DA VINCI 7260;SERVIZI & GESTIONI ITALIA S.R.L.;V. LEONARDO DA VINCI 7260 59012;*****************;11.045444011688232
40040;Eni;MAGE DI MADDALONI FILOMENA;FRANCESCA VIOLI 463 51015;*****************;10.82452118396759
29724;S.P. ROMANA 54 A - PESCIA;SERVIZI & GESTIONI ITALIA S.R.L.;S.P. ROMANA 54 A 51017;*****************;10.695834390490745
40295;METANO AUTO;4 GAS SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;VIA GORA E BARBATOLE 260 51100;*****************;10.886554072422086
38122;Raccordo Pistoia Ovest;"IP SERVICES S.R.L.";RACCORDO PISTOIA OVEST KM. 0-824 snc 51100;*****************;10.895642638206482
42648;totalerg;SILITALY DI MARRACCINI SILIANA & C. S.A.S.;strada statale 116 51039;*****************;10.97533405903323
23367;distributore petri giuseppe;DISTRIBUTORE PETRI GIUSEPPE;strada provinciale 51, fonte al coscio 0  53011;*****************;11.289621016965839
29595;AGIP;AGGRAVI MAURIZIO;VIA DANTE 58 53042;*****************;11.827008450401308
38364;3511;T.D.M. S.R.L.;PER PIENZA 1/B 53045;*****************;11.774841248989105
43697;54368;GESTIONI INNOVATIVE ITALIA S.R.L.;SP 1 S.Gimignano Le Lame 53036 53036;*****************;11.130452588954995
49491;IP;FG DI FEDERICO GALLINA;VIA GALVANI 1 53036;*****************;11.14267250872528
38818;stazione esso consorzio agrario siena;CONSORZIO AGRARIO DI SIENA SOCIETA' COOPERATIVA;VIA BORGACCIO  53036;*****************;11.148417368531227
34700;AUTOGRILL B.D.S;AUTOGRILL B.D.S. DI BAGNERINI SANDRA & C. S.A.S.;LOCALITA' CROCEVIE SNC 53040;*****************;11.63033589720726
34699;AUTOGRILL B.D.S;AUTOGRILL B.D.S. DI BAGNERINI SANDRA & C. S.A.S.;LOCALITA' CROCEVIE SNC 53040;*****************;11.63033589720726
26144;NANNOTTI SANDRO;NANNOTTI SANDRO;VIA DELLE CAVE 60 53040;*****************;11.616337427425378
11182;carburanti passe partout;PASSEPARTOUT DI BIANCHI LETIZIA;VIA DELLA RIMEMBRANZA 19 53020;*****************;11.668811035606268
